agent_name,seed,split,total_reward,total_return,final_equity,realized_profit,n_trades,steps,sharpe,max_drawdown
RandomAgent,0,is,-0.051187432489844385,-0.0498994258738372,9501.005741261628,-498.9942587383721,534.0,1553.0,8.84955019586639e-05,-0.3338371923096631
RandomAgent,0,oos,0.025023919233342923,0.02533964556938263,10253.396455693826,253.39645569382628,226.0,649.0,0.22721336433343609,-0.11730215225531497
BuyAndHoldAgent,0,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
BuyAndHoldAgent,0,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
A,0,is,0.6467513771235252,0.8999477489699289,18999.47748969929,5917.330140264584,41.0,1553.0,1.712479559335283,-0.3371724467684867
A,0,oos,0.16186269953928603,0.17229517430169508,11722.95174301695,283.03680972027905,19.0,649.0,0.7159804482314754,-0.2152062385901348
B,0,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
B,0,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
C,0,is,0.11616521259039059,0.11766336050471472,11176.63360504715,-999.2977123460496,7.0,1553.0,0.4857475232627644,-0.3658621302536435
C,0,oos,0.14017737713749376,0.14714723160345475,11471.472316034547,0.0,1.0,649.0,1.563447917580102,-0.09974315326198939
D,0,is,0.8156379293660053,1.2495111759837025,22495.11175983703,0.0,1.0,1553.0,2.0223875565703935,-0.3371724467684874
D,0,oos,0.1273460778572747,0.13252187398866935,11325.218739886694,0.0,1.0,649.0,0.5763735895015581,-0.24496387071508643
RandomAgent,1,is,-0.3993846608495885,-0.32926735286527264,6707.326471347274,-3292.673528652727,502.0,1553.0,-1.146962975735463,-0.45800308350366165
RandomAgent,1,oos,-0.24057684786735412,-0.2138257726863094,7861.742273136905,-2138.257726863094,214.0,649.0,-1.1122192870837038,-0.30132816450704936
BuyAndHoldAgent,1,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
BuyAndHoldAgent,1,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
A,1,is,0.667360411622751,0.9490857405355323,19490.857405355324,9490.857405355324,54.0,1553.0,2.252563223469727,-0.16120930899315275
A,1,oos,0.06276131811851272,0.061690164661232665,10616.901646612327,-587.8407030451581,27.0,649.0,0.3590820032690886,-0.25849817410915144
B,1,is,0.8052575507382739,1.226281174942895,22262.81174942895,0.0,1.0,1553.0,1.9954592348055815,-0.33717244676848707
B,1,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
C,1,is,0.7723383902517472,1.1541870176361773,21541.870176361772,0.0,1.0,1553.0,2.04885875204068,-0.33717244676848734
C,1,oos,0.1389642620181085,0.14575645371003956,11457.564537100398,0.0,1.0,649.0,0.6150990416302899,-0.24496387071508777
D,1,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
D,1,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
RandomAgent,2,is,-0.26385077746167496,-0.2319118528317751,7680.881471682249,-2319.118528317751,510.0,1553.0,-0.6049118882522061,-0.382512859761375
RandomAgent,2,oos,-0.28620985949361827,-0.2488950271034969,7511.049728965031,-2488.950271034969,210.0,649.0,-1.3659486703891648,-0.320246087267181
BuyAndHoldAgent,2,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
BuyAndHoldAgent,2,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
A,2,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
A,2,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
B,2,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
B,2,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
C,2,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
C,2,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
D,2,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
D,2,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
RandomAgent,3,is,-0.10161981229414391,-0.09662706232622058,9033.729376737794,-966.2706232622058,484.0,1553.0,-0.15187860200388625,-0.36064327567758486
RandomAgent,3,oos,-0.0604807358137039,-0.06141318262001314,9385.868173799869,-581.0160994833805,207.0,649.0,-0.18152930951539722,-0.25704749738958144
BuyAndHoldAgent,3,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
BuyAndHoldAgent,3,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
A,3,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
A,3,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
B,3,is,0.12426487009481796,0.12675281195958576,11267.528119595858,-1383.4074948240977,5.0,1553.0,0.7536803102706277,-0.1633690868527438
B,3,oos,0.0,0.0,10000.0,0.0,0.0,649.0,0.0,0.0
C,3,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
