agent_name,seed,split,total_reward,total_return,final_equity,realized_profit,n_trades,steps,sharpe,max_drawdown
RandomAgent,0,is,0.7693682905470958,1.158402339871507,21584.02339871507,11584.023398715071,534.0,1553.0,1.2819913161070677,-0.4972620435129847
RandomAgent,0,oos,-0.44085341827275126,-0.35651297690080225,6434.870230991978,-3565.129769008023,226.0,649.0,-0.44810218339487956,-0.5585385444453093
BuyAndHoldAgent,0,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
BuyAndHoldAgent,0,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
A,0,is,3.4858578084789946,30.54042004275907,315404.2004275907,169810.543606401,157.0,1553.0,3.482045265866754,-0.6062653853820688
A,0,oos,-0.04679616001635519,-0.04571810142728919,9542.818985727108,-457.18101427289184,26.0,649.0,0.35612020954601004,-0.6703718945750755
B,0,is,2.977976033301901,17.980044239899975,189800.44239899973,0.0,1.0,1553.0,2.860615164443665,-0.6062653853820692
B,0,oos,-0.006907657444102027,-0.02531991962234333,9746.800803776567,0.0,1.0,649.0,0.3745508910229261,-0.7168798434447897
C,0,is,3.3488749247568204,26.502777938145684,275027.77938145684,151153.02216084878,15.0,1553.0,3.151159899377529,-0.5250139619044076
C,0,oos,0.6102806549624181,0.8409479974771402,18409.479974771402,8409.479974771402,12.0,649.0,1.1312242084290043,-0.6677730110516275
D,0,is,3.175286021487604,22.12000158210031,231200.01582100312,185759.5907155188,35.0,1553.0,3.0176509135370733,-0.606265385382069
D,0,oos,0.09846955682752372,0.10348081042650938,11034.808104265094,1034.8081042650938,18.0,649.0,0.5605341936228662,-0.765405844259909
RandomAgent,1,is,0.6775348710171368,0.9690178615901135,19690.178615901135,9690.178615901135,502.0,1553.0,1.1719686161921166,-0.7486746217822894
RandomAgent,1,oos,-0.11592206469575254,-0.10945537454077912,8905.446254592209,-1094.5537454077912,214.0,649.0,0.15808864823859697,-0.6239317354747956
BuyAndHoldAgent,1,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
BuyAndHoldAgent,1,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
A,1,is,2.8756971581955955,16.134761715758753,171347.61715758752,183165.7415333341,73.0,1553.0,3.457353944985081,-0.5761271358297054
A,1,oos,-0.23775723019016215,-0.21160593385990753,7883.940661400925,-2116.059338599075,22.0,649.0,0.09466041501292798,-0.6989933064946663
B,1,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
B,1,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
C,1,is,2.8263123256845284,15.309119280486781,163091.1928048678,0.0,1.0,1553.0,2.719019656797867,-0.606265385382069
C,1,oos,0.28110599175937384,0.3000044202913548,13000.04420291355,0.0,1.0,649.0,0.7478466649101807,-0.7363221744219116
D,1,is,2.5561281566457534,11.885828693755533,128858.28693755534,118858.28693755534,98.0,1553.0,4.1963675323936735,-0.2693569220764346
D,1,oos,0.18528346180968489,0.2035595549486112,12035.595549486112,2035.5955494861118,44.0,649.0,0.723297480126372,-0.1891549570040388
RandomAgent,2,is,0.8069136214536953,1.2409807871724283,22409.807871724286,12409.807871724282,510.0,1553.0,1.3093493287390663,-0.6229295788425355
RandomAgent,2,oos,-0.4219812249816974,-0.344253649072737,6557.46350927263,-3442.53649072737,210.0,649.0,-0.33860523206496196,-0.681354766754457
BuyAndHoldAgent,2,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
BuyAndHoldAgent,2,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
A,2,is,2.9115197850553756,16.759700537628937,177597.00537628937,5795.0713235723015,19.0,1553.0,2.761723920569471,-0.6062653853820688
A,2,oos,0.19907203011169652,0.19761694486024697,11976.16944860247,930.9278123805707,5.0,649.0,0.6598582813804782,-0.7363221744219121
B,2,is,3.8334630078383594,45.222329685052394,462223.2968505239,452223.2968505239,152.0,1553.0,4.2229079999556145,-0.4413742984189783
B,2,oos,0.2572067452648191,0.2933124853534113,12933.124853534113,2933.124853534113,44.0,649.0,0.7164753152732751,-0.6291299543800433
C,2,is,2.1098568040856502,6.966688372379276,79666.88372379275,6715.513212345373,79.0,1553.0,2.3077358134849173,-0.6062653853820691
C,2,oos,0.19554859167905767,0.1934046405444442,11934.04640544444,2088.7789907839797,11.0,649.0,0.6472039281210857,-0.7088986057514212
D,2,is,3.6620745351212385,36.618149216574835,376181.4921657483,356214.4652054478,291.0,1553.0,3.4121819806145335,-0.5370800335298438
D,2,oos,0.0725120282239405,0.055245774227912624,10552.457742279126,762.8202084870845,115.0,649.0,0.5092098561717712,-0.7265439361749916
RandomAgent,3,is,1.6403153191236688,4.156795292078065,51567.952920780655,41567.95292078065,484.0,1553.0,2.1769282006430144,-0.48886372871075295
RandomAgent,3,oos,0.05806885495360135,0.04011421358670068,10401.142135867007,954.590586041375,207.0,649.0,0.4005006492101748,-0.6034828227544257
BuyAndHoldAgent,3,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
BuyAndHoldAgent,3,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
A,3,is,3.996260821225203,51.54515588307498,525451.5588307498,319270.48860256735,69.0,1553.0,3.6975670854911464,-0.6184201689159012
A,3,oos,0.11222551283785746,0.11876512809825308,11187.65128098253,1187.6512809825308,36.0,649.0,0.5598871980987774,-0.6452269619832178
B,3,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
B,3,oos,0.1605724762558679,0.1523855086080921,11523.855086080921,0.0,1.0,649.0,0.6155307329753095,-0.7363221744219112
C,3,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
C,3,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
D,3,is,4.81510547858271,118.16601075884834,1191660.1075884833,1333397.1954586299,319.0,1553.0,4.328321709185357,-0.5569116824297952
D,3,oos,-0.32985111174505183,-0.2943172032347372,7056.827967652628,-2802.494687681685,129.0,649.0,0.0521647774365851,-0.7149157371509278
RandomAgent,4,is,1.5590954283882181,3.7545184969030587,47545.18496903059,37545.18496903059,534.0,1553.0,2.0785628894055583,-0.5940168259928038
RandomAgent,4,oos,-0.41100784833405135,-0.34932576911442875,6506.7423088557125,-3147.0316325557706,217.0,649.0,-0.31836515830266787,-0.7199084608296005
BuyAndHoldAgent,4,is,2.894956091899088,16.46795715143751,174679.5715143751,0.0,1.0,1553.0,2.7438159292067117,-0.606265385382069
BuyAndHoldAgent,4,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
A,4,is,4.514346264578645,87.21335381276442,882133.5381276443,469164.0256278578,125.0,1553.0,4.3586919868850975,-0.6062653853820689
A,4,oos,-0.15289307465611393,-0.14177851746745893,8582.21482532541,-1417.7851746745891,38.0,649.0,0.2161882939133691,-0.7213104048876984
B,4,is,2.9299128799748986,17.089379004732802,180893.79004732802,0.0,1.0,1553.0,2.770933729386852,-0.606265385382069
B,4,oos,0.22628568021317894,0.23065599088527397,12306.55990885274,0.0,1.0,649.0,0.6892278370911716,-0.7363221744219116
C,4,is,1.938631863568572,5.712986636836008,67129.86636836008,55712.320031883464,149.0,1553.0,2.4638163197710634,-0.5180520430566581
C,4,oos,0.07716928893812301,0.08022493104612022,10802.249310461202,802.2493104612022,38.0,649.0,0.4926881088395685,-0.5871057644728951
D,4,is,3.888047533142098,46.15592311025919,471559.231102592,549227.1732350374,197.0,1553.0,3.6059353192404604,-0.5861535165080799
D,4,oos,-0.31603401267299974,-0.284499041058734,7155.00958941266,-2720.803124673799,77.0,649.0,0.05658544805538599,-0.7645634972468636
